宝龙广场,暂无,83,2,2,89,2011,南,中,21,精装修,24.90,暂无,
宝龙广场,暂无,89,3,2,104,2016,南北,高,32,毛坯,26.70,暂无,
宝龙广场,暂无,150,3,2,104,2014,南,中,33,豪华装修,45.00,暂无,
宝龙广场,暂无,198,4,2,160,2010,南北,中,32,毛坯,59.40,暂无,
宝龙广场,暂无,120,2,2,86,2013,南,中,28,精装修,36.00,暂无,
宝龙广场,暂无,85,3,2,110,2011,南,中,25,精装修,25.50,暂无,
宝龙广场,暂无,105,2,1,85,2012,南北,低,28,暂无,31.50,暂无,
宝龙广场,宝龙城市广场,220,4,3,160,2013,南,高,32,豪华装修,66.00,万科房产,
宝龙广场,暂无,135,3,2,115,2015,南北,高,32,精装修,40.50,暂无,
宝龙广场,宝龙城市广场,240,4,2,160,2014,南,高,32,精装修,72.00,万科房产,
宝龙广场,宝龙城市广场,240,4,2,162,2015,南,高,33,精装修,72.00,万科房产,
宝龙广场,暂无,141,3,2,144,2012,西南,中,10,精装修,42.30,暂无,
宝龙广场,暂无,105,2,1,85,2012,南北,低,28,暂无,31.50,暂无,
宝龙广场,宝龙城市广场,228,3,2,160,2014,南,低,32,简单装修,68.40,丰业地产,
宝龙广场,暂无,150,3,2,125,2008,南,高,15,精装修,45.00,暂无,
宝龙广场,暂无,80,3,2,110,2011,南,无,1,精装修,24.00,暂无,
宝龙广场,暂无,150,3,2,133,2016,南北,中,12,毛坯,45.00,暂无,
宝龙广场,宝龙城市广场,112,2,2,86,2015,南北,中,32,毛坯,33.60,东腾房产,
宝龙广场,暂无,130,3,2,115,2011,南,中,32,精装修,39.00,暂无,
宝龙广场,暂无,105,2,2,87,2014,南,中,18,暂无,31.50,暂无,
宝龙广场,暂无,175,3,2,126,2013,南北,低,32,精装修,52.50,暂无,
宝龙广场,暂无,180,3,2,135,2016,南,高,32,精装修,54.00,暂无,
宝龙广场,暂无,107,2,2,87,2014,南,中,18,精装修,32.10,暂无,
宝龙广场,暂无,130,3,2,115,2011,南,中,32,精装修,39.00,暂无,
宝龙广场,暂无,135,4,2,125,2013,南北,高,32,毛坯,40.50,暂无,
宝龙广场,暂无,208,3,2,130,2011,南北,高,32,精装修,62.40,暂无,
宝龙广场,梧桐香郡花园西区(玫瑰路),90,2,2,84,2016,南,低,26,毛坯,27.00,上城地产,
宝龙广场,暂无,100,3,2,135,2011,南,中,21,精装修,30.00,暂无,
宝龙广场,暂无,60,2,2,80,2011,南,高,15,精装修,18.00,暂无,
宝龙广场,暂无,85,2,2,85,2016,南北,低,22,毛坯,25.50,暂无,
宝龙广场,暂无,89,2,2,87,2014,南,高,18,精装修,26.70,暂无,
宝龙广场,暂无,92,2,2,87,2016,南北,低,32,精装修,27.60,暂无,
宝龙广场,宝龙城市广场,112,2,2,86,2013,南,中,32,毛坯,33.60,东腾房产,
宝龙广场,暂无,100,2,2,86,2012,东,高,32,精装修,30.00,暂无,
宝龙广场,暂无,101,2,1,85,2012,南北,高,28,暂无,30.30,暂无,
宝龙广场,暂无,88,3,2,110,2011,南,中,25,精装修,26.40,暂无,
宝龙广场,暂无,138,3,2,132,2016,南北,低,32,精装修,41.40,暂无,
宝龙广场,暂无,130,3,2,115,2011,南,中,32,精装修,39.00,暂无,
宝龙广场,暂无,110,3,2,115,2015,南,中,20,豪华装修,33.00,暂无,
宝龙广场,暂无,89,2,2,92,2011,南,中,25,精装修,26.70,暂无,
宝龙广场,暂无,90,2,2,90,2011,南,中,25,精装修,27.00,暂无,
宝龙广场,暂无,130,3,2,125,2011,南,中,23,精装修,39.00,暂无,
宝龙广场,暂无,96,2,2,86,2012,东,低,32,精装修,28.80,暂无,
宝龙广场,暂无,120,3,2,121,2011,南,中,32,精装修,36.00,暂无,
宝龙广场,暂无,108,3,2,135,2011,南,高,32,精装修,32.40,暂无,
宝龙广场,暂无,200,4,2,160,2012,南,低,32,豪华装修,60.00,暂无,
宝龙广场,暂无,210,4,2,202,2013,南北,低,32,毛坯,63.00,暂无,
宝龙广场,暂无,88,2,2,88,2011,南,低,32,精装修,26.40,暂无,
