府琛花园,460,通江路汉江路[B],新北
富都小区,478,通江路黄河路[B],新北
中凉新村,238,中吴大道和平路,天宁
兰陵尚品花园,232,中吴大道和平路,天宁
都市桃源,255,三堡街小区,钟楼
嘉顺花园,114,珠江路科四路(华山医院),新北
鹏欣丽都,134,人民公园[B],钟楼
锦绣东苑,396,奥体中心北[龙锦路晋陵路西],天宁
兰翔新村,223,新天安城市花园,新北
府琛商务广场,360,通江路汉江路[B],新北
金鸡花园,585,富强村,武进
永宁花园,284,翠竹新村,天宁
常发豪庭国际,378,珠江花园,新北
长安家园,2024,丽华二村,武进
香树湾·福园,864,中华恐龙园[回车场],新北
九龙仓国宾1号,568,中华恐龙园[回车场],新北
新城首府,94,通江路飞龙路[B],钟楼
金玉苑,210,星港路茶花路(景瑞曦城),钟楼
沈家花苑,1239,花园公交中心站[回车场],武进
蓝色港湾花园,114,新北公交中心站[B],新北
文渊居,1433,中吴大道龙游路,武进
运河花园,679,青枫公馆,钟楼
金百花园,232,通江路龙城大道[B],钟楼
九洲新家园,462,中吴大道和平路,天宁
枫林雅都,681,青枫公馆,钟楼
朝阳三村,129,朝阳桥,天宁
嘉宏盛世,140,文化宫[B],天宁
泰山一村,460,汉江路泰山路,新北
府北新村,136,新城南都,武进
清潭六村,260,常州梳篦博物馆(勤德家园),钟楼
富强新村,359,丽华二村,天宁
西城格兰艺堡,28,怀德路长江路[B],钟楼
红梅东村小区,86,竹林北路公交站,天宁
浦北新村,576,文化宫[B],天宁
上书房,218,长江路怀德路,钟楼
东方福郡,6588,物流公司,戚墅堰
空港二村,8642,钟楼公交中心站,新北
西湖家园,295,稻香路西太湖大道,武进
橄榄城,2413,常州北站[回车场],新北
龚家名园,508,丽华二村,武进
府河名居,148,文笔塔[B],天宁
吟枫苑,259,新北公交中心站[B],新北
红梅西村,229,竹林路庙湾路,天宁
湾里新村,964,定安路花园街(湖塘湾里小区),武进
香梅花园,55,红梅新村(九龙小商品市场),天宁
白云东苑,163,勤业中学(市政管理处),钟楼
花之园,103,三堡街小区,钟楼
瑞丰花苑,13805,白家桥,武进
荷花池小区,80,青山桥,钟楼
聚缘雅居,89,竹林路庙湾路,天宁
摩尔上品,498,武进公交中心站[B],武进
金水湾小区,20104,嘉泽公交中心站,金坛
