和平路延陵路(文化宫),119.96454,31.77482
明都大饭店,119.96625,31.77934
新丰东桥(火车站),119.971369,31.7827086
火车站公交中心站(东广场回车场),119.97225,31.78256
白家桥,119.9940340,31.75922506
天宁大饭店,119.989681,31.761394
兆丰花苑,119.985753,31.763568
朝阳桥,119.9823,31.76628
东坡公园(儿童医院),119.97662,31.76848
文笔塔[B],119.973577,31.770113
文化宫[B],119.962397,31.775955
龙城大道通江路,119.96298,31.81007
常州规划馆(常州博物馆),119.9705208,31.80836748
行政中心西门,119.971331,31.812692
晋陵路太湖路,119.98404,31.81296
河海大学东门,119.985244,31.818915
珠江花园,119.985864,31.822683
新天安城市花园,119.98634,31.82575
汉江路建东路,119.991742,31.827317
中华恐龙园[回车场],119.997188,31.826445
火车站公交中心站(西广场回车场),119.968669,31.7858686
怡康花园,119.96242,31.78794
青山桥,119.957923,31.789440
珠江路科四路(华山医院),119.97399,31.82574
常州政务服务中心(人力资源市场),119.9715196,31.82644852
新北区政府(高新科技园),119.970659,31.8291886
嘉新花园,119.97221,31.83273
富都小区,119.974,31.83691
黄河路泰山路,119.9689931,31.83862445
黄河路华山路,119.9622410,31.84028997
公交三公司,119.964569,31.8449886
新盛花苑,119.95973,31.85341
长江路新桥大街,119.96376,31.86055
长江路红河路,119.964961,31.867093
嫩江路长江路,119.96566,31.87249
锦海星城,119.97197,31.87111
嘉泽公交中心站,119.78314,31.68166
大名路人民路,119.78632,31.68136
嘉泽新苑北,119.7916,31.68125
嘉泽状元坊东,119.78995,31.68577
嘉泽幼儿园,119.79536,31.68583
花博园西,119.80012,31.68705
花博园北,119.80398,31.69353
环湖路丰泽路,119.82634,31.69156
腾龙路环湖路,119.83332,31.69145
腾龙路延政大道,119.83483,31.70008
腾龙路菱香路,119.8356,31.7045
稻香路腾龙路,119.8366175,31.70665077
稻香路祥云路,119.8439731,31.70563567
稻香路西太湖大道,119.8501330,31.70481273
湖滨花园北,119.85291,31.70456
绿杨路稻香路,119.85874,31.70361
绿杨路延政大道,119.85783,31.6986
武进电大,119.86412,31.69706
卢西大桥东,119.88416,31.69518
九洲金东方,119.89119,31.69594
九洲喜来登,119.912179,31.6969086
延政大道凤林路,119.92772,31.69623
兰陵路延政大道,119.93643,31.69798
兰陵路长虹路,119.9396631,31.7086007
兰陵路广电路,119.941907,31.716278
兰陵路人民路,119.94335,31.72632
聚湖路兰陵路,119.94179,31.73597
新北公交中心站[B],119.987511,31.835992
兰陵路广电路[B],119.941473,31.714911
淹城公交枢纽,119.936400,31.694800
永宁路关河路,119.96731,31.78969
鹤园路局前街,119.96449,31.78177
第一医院,119.96249,31.78073
县直街,119.95543,31.77901
花园公交中心站[回车场],119.91532,31.77513
虹景金桂园,119.99633,31.77922
物流公司,119.99706,31.7778
红梅文化站,119.98861,31.779
红梅街道[卫生服务中心],119.9846,31.78348
小东门商城,119.974422,31.779184
红梅公园,119.96959,31.77931
椿庭桥(妇幼保健医院),119.966779,31.7824786
博爱路太平桥路,119.9640226,31.78352306
博爱路晋陵路,119.9588,31.78428
东横街健身路,119.95524,31.78453
北大街(新世纪商城),119.95491,31.78147
常州梳篦博物馆(勤德家园),119.9358671,31.78185998
勤业新村,119.93748,31.7844
勤业四村,119.93223,31.78411
莱茵花苑,119.9279636,31.78682919
勤业路星湖路(欧尚五星店),119.9251376,31.78852870
勤业中学(市政管理处),119.9212568,31.79081582
五星街道(办),119.9197588,31.79171693
周家村(五星派出所),119.9177212,31.79299264
五星平岗,119.9131334,31.79599310
星港路龙江路,119.9101138,31.79765180
青枫公馆,119.9058526,31.79957306
钟楼区政府(青枫公园),119.9028762,31.80092650
星港路茶花路(景瑞曦城),119.8962059,31.80392290
星港花苑(枫逸人家),119.89199,31.80579
钟楼公交中心站,119.8915407,31.81138449
